key,value,date
یوتیوب,100,01/06/15 00:00
یوتیوب,150,01/06/15 01:00
یوتیوب,350,01/06/15 02:00
یوتیوب,380,01/06/15 03:00
یوتیوب,220,01/06/15 04:00
یوتیوب,160,01/06/15 05:00
یوتیوب,170,01/06/15 06:00
یوتیوب,120,01/06/15 07:00
یوتیوب,170,01/06/15 08:00
یوتیوب,330,01/06/15 09:00
یوتیوب,400,01/06/15 10:00
یوتیوب,320,01/06/15 11:00
یوتیوب,260,01/06/15 12:00
یوتیوب,350,01/06/15 13:00
یوتیوب,400,01/06/15 14:00
یوتیوب,320,01/06/15 15:00
یوتیوب,260,01/06/15 16:00
یوتیوب,220,01/06/15 17:00
یوتیوب,160,01/06/15 18:00
یوتیوب,220,01/06/15 19:00
یوتیوب,250,01/06/15 20:00
یوتیوب,220,01/06/15 21:00
یوتیوب,150,01/06/15 22:00
یوتیوب,390,01/06/15 23:00
یوتیوب,440,01/06/15 24:00
تبلیغات فیس بوک,350,01/06/15 00:00
تبلیغات فیس بوک,360,01/06/15 01:00
تبلیغات فیس بوک,370,01/06/15 02:00
تبلیغات فیس بوک,220,01/06/15 03:00
تبلیغات فیس بوک,240,01/06/15 04:00
تبلیغات فیس بوک,260,01/06/15 05:00
تبلیغات فیس بوک,340,01/06/15 06:00
تبلیغات فیس بوک,210,01/06/15 07:00
تبلیغات فیس بوک,180,01/06/15 08:00
تبلیغات فیس بوک,450,01/06/15 09:00
تبلیغات فیس بوک,320,01/06/15 10:00
تبلیغات فیس بوک,350,01/06/15 11:00
تبلیغات فیس بوک,300,01/06/15 12:00
تبلیغات فیس بوک,280,01/06/15 13:00
تبلیغات فیس بوک,270,01/06/15 14:00
تبلیغات فیس بوک,260,01/06/15 15:00
تبلیغات فیس بوک,150,01/06/15 16:00
تبلیغات فیس بوک,300,01/06/15 17:00
تبلیغات فیس بوک,350,01/06/15 18:00
تبلیغات فیس بوک,220,01/06/15 19:00
تبلیغات فیس بوک,220,01/06/15 20:00
تبلیغات فیس بوک,350,01/06/15 21:00
تبلیغات فیس بوک,300,01/06/15 22:00
تبلیغات فیس بوک,220,01/06/15 23:00
تبلیغات فیس بوک,320,01/06/15 24:00
تبلیغات توییتر,210,01/06/15 00:00
تبلیغات توییتر,250,01/06/15 01:00
تبلیغات توییتر,270,01/06/15 02:00
تبلیغات توییتر,230,01/06/15 03:00
تبلیغات توییتر,240,01/06/15 04:00
تبلیغات توییتر,110,01/06/15 05:00
تبلیغات توییتر,200,01/06/15 06:00
تبلیغات توییتر,290,01/06/15 07:00
تبلیغات توییتر,300,01/06/15 08:00
تبلیغات توییتر,360,01/06/15 09:00
تبلیغات توییتر,330,01/06/15 10:00
تبلیغات توییتر,430,01/06/15 11:00
تبلیغات توییتر,400,01/06/15 12:00
تبلیغات توییتر,340,01/06/15 13:00
تبلیغات توییتر,280,01/06/15 14:00
تبلیغات توییتر,260,01/06/15 15:00
تبلیغات توییتر,270,01/06/15 16:00
